,Unnamed: 0.1,Job_title,Company_name,Job_description,language,stopwords,word_count,char_count
427,428,Compensation & Benefits Analyst (m/w/d),Michael Page,assist aspects annual yearend process participate industryspecific general market surveys ensure competitiveness compensation benefit programs enter maintain contracts department contract system submit invoices payment contracts ensure timely payment vendors track compensation benefits expenditures relevant budgets responsible data integrity compensation information workday regularly conducting audits job titles grades compensation data conduct job evaluations new positions benchmark reviews existing positions using available market data assist making salary recommendations new hires perform ad hoc pay analyses assist evaluation current vendor service levels performance compensation benefits plans assist review implementation global benefits standards assist management global benefits database administration identified plans renewal benefits support requests hr partners working closely hr officers support hr projects initiatives required client globally operating organization 1000 employees position opportunity develop skills 35 years compensation benefits experience multinational organizations bachelors degree equivalent experience required familiarity workday hris preferred strong analytical organizational communication customer service skills strong ability manage multiple complex projects working pressure meet deadlines ability thrive fastchanging high volume consultative environment client globally operating organization 1000 employees several offices around world seeking collaborative innovative compensation benefits analyst mwd set strategic operational direction global benefits function develop implement benefits governance model design implement global benefits program ensuring global standardization local customization collaboration hr generalists role based berlin topnotch benefits perks designed wellbeing healthy worklife balance client globally operating organization 1000 employees several offices around world seeking collaborative innovative compensation benefits analyst mwd set strategic operational direction global benefits function,English,133,349,2654
428,429,Engineering Lead - Algorithmic Data Products,Zalando,engineering lead newly formed zalando offprice data data science team provide technical direction coaching leadership crossfunctional engineering team backend research engineers data scientists analysts deliver algorithmic data products zalando lounge outlets act delivery lead architect team lead work closely product business development managers engineering teams team build completely new tech products pricing optimization personalization produce step change performance zalando groups fastest growing business unit expertise needed deliver high quality data products dont mind getting hands dirty enjoy building products scratch leveraging centrally provided tooling infrastructure ai whenever possible provide right guidance team help solve technical questions choice tech stack system architecture code quality system performance develop execute mid longterm technical vision architecture team deliver stable scalable production system closely collaborating engineering managers line overall tech strategy facilitate communication decisionmaking different engineering teams stakeholders act sparring partner product owners ensure seamless integration products downstream services lead develop agile worldclass engineering team great coach team member enjoy guiding along development path strike right balance giving team sufficient freedom grow knowing step demonstrate looking strong selfdriven leader good understanding technical landscapes previous experience leading international crossfunctional teams engineers data scientists proven ability design deliver endtoend pipelines algorithmicml data products scratch extensive industry experience backend engineer working mainly python experience distributed systems docker kubernetes microservices architecture restful apis particularly using cloud infrastructure aws experience mlrelated libraries eg numpy pandas scikitlearn pytorch frameworks eg tensorflow spark effective communication skills english ability understand translate business user requirements across teams senior leadership perks work culture trust empowerment constructive feedback open source commitment meetups game nights 70 internal technical fun guilds knowledge sharing tech talks internal tech academy blogs product demos parties events competitive salary employee share shop 40 zalando shopping discount discounts external partners centrally located offices public transport discounts municipality services great equipment flexible working times additional holidays volunteering time free beverages fruits diverse sports health offerings extensive onboarding mentoring personal development opportunities international team experts relocation assistance internationals pme family service parent child rooms celebrate diversity committed building teams represent variety backgrounds perspectives skills employment decided basis qualifications merit business need,English,160,494,3648
429,430,Senior Web Analyst (m/f/d),Takeaway.com,looking analytics expert decipher data help optimise online presence ready make international impact skills keep reading story bitesize version need gyoza guests craving postwork pizza thats whether know us lieferandode takeawaycom even food app connecting food fans dishes love cities across 11 countries berlin bucharest heart tech company partner restaurants cook food focused everything app development analytics thats come role sentence youll leading data quality means able identify track use data help optimise user experience youll spotting improvement points troubleshooting tracking implementations well acting google analytics expert youre also first point contact colleagues offering behavioural analysis website optimisation range areas including product various itrelated matters also counting understand stakeholders need communicating clearly delivering solution regularly use tag management systems like tealium google tag manager boost functionality assist insights digital analytics platform helping various departments optimise internal external web mobile app products understand data gathered processed range different analytics tools deliver think youre next web analyst thats great even better say yes following 5 years experience web analyst product analyst conversion optimisation specialist similar significant working knowledge tealium google tag manager ab testing sql r andor python strong background using tag management systems tracking debugging bigquery firebase andor google analytics train fellow team members usage various data analytics tools available able indepth analyses example performance analysis different steps funnel working together product different departments fluent english dashboarding experiences tableau would plus enjoy helping sharing knowledge colleagues various departments teams countries heres offer need heres taste makes working extra special competitive salary 27 days annual leave opportunity travel amsterdam sofia telaviv amazing workplace events like summer party skisnowboard event opportunities develop progress scalable international company dynamic welcoming workplace heart berlin contribution pension plan office amenities great coffee ping pong popular friday drinks name ready take analytics next level click button send us motivational letter cv,English,168,457,3122
431,432,AWS Fraud Investigations Manager,AWS EMEA SARL (Germany Branch),bachelors degree equivalentexceptional operational managerial analytical interpersonal skillsfour years relevant industry experience areas fraud cyber crime financial crimes white collar crimes financial risk management know customerantimoney launderingexperience people manager consistent top performance project deliveryadvanced working knowledge ms office ms excel wordexcellent oralwritten communication presentation skills including ability effectively communicate internal external stakeholders day hundreds thousands customers make billions transactions worldwide cloud harnessing power amazon web services aws enable innovative applications websites businesses however always people try take unfair advantage good thing interested taking skills career next level fun fighting bad guys join growing world class team conduct investigations order prevent malicious fraudulent usage aws integral member team investigators analysts specialists conducting complex investigations fraud activity help drive related intelligence initiatives targeting new emerging fraud threats aws leverage analytical data skills deep dive myriad fraud activity help drive complex investigations investigative strategies forefront keeping abreast trends fraud issues impacting cloud industry ensure aws leading curve identifying mitigating preventing fraud attacks charge managing multiple investigation specialists berlin office investigate fraudulent cloud computing behavior complex transactions accounts based processes tools highjudgment decisions provide leadership administrative support team manage focus development meeting decision quality targets constantly meeting exceeding service levels based capacity team delivery executing priority projects various internal external stakeholders responsibilities include assist building managing team investigators conducting complex deep dive investigations sophisticated criminals criminalsdevelop career skills investigators hiring best identifying growth opportunities implementing supplemental traininganalyze meet report goals aligned fraud operating expense reduction customer experience improvement service levelswork crossfunctional teams across amazon collaboration fraud risks investigationswork stakeholders drive process improvements impact internal external customersmaintain confidentiality information obtained investigations processtake adhoc projectsassignments related fraud investigations risk management necessarydeliver significant business impact contributions aws quality productivity customer experience improvements knowledge fraud risk trends impacting cloud computing industryexperience collaborating teams across multiple geographic regionsprevious experience cloud fraud risk compliance functions amazon equal opportunities employer believe passionately employing diverse workforce central success make recruiting decisions based experience skills value passion discover invent simplify build protecting privacy security data longstanding top priority amazon please consult privacy notice know collect use transfer personal data candidates,English,200,536,3927
433,434,Machine Learning Engineer (m/f/d),AtomLeap,atomleap ai company collects uses big data track analyze latest highimpact innovations technologies assess tech innovations organizations driving help industry business leaders make important decisions combination big data aiaugmented saas dashboard qualitative expertise looking machine learning engineer join growing international team youre enthusiastic professional keen working fastpaced company look forward application position excellent opportunity shape growth ambitious startup heart berlin kreuzberg tasks play leading role growing rd team contribute solving large scale challenges machine learning development cycle identify develop implement different machine learning approaches solving problems business analysts identified make key decisions nlp architecture design implement scalable nlp machine learning models work closely together data science team analysis machine learning results subsequent optimizations algorithms explore ideas practical reliable models data label quality supervision develop evaluation techniques gauge performance accuracy models build keep existing models date track model degradation set autonomous retraining mechanisms manually retrain model necessary manipulate harmonize data structured semi unstructured various sources speed model building process work collaborate within team experienced people diverse backgrounds requirements university degree relevant field least two years work experience machine learning worked large data sets preferably experience nlp textbased data ideally worked data business andor technology context experience artificial neural networks preferably pytorch framework highly experienced python development knowledge experience building production quality large scale deployment applications related nlp machine learning experience latest machine learning infrastructure developments enjoy cooperating communicating within outside core team benefits five weeks paid vacation year permanent contract competitive salary flexible working hours flat hierarchies short decision paths team inquisitive minds keep things interesting talent development individual education courses opportunities bonuses career progression sounds like send application including cover letter cv ms konstanze neumann konstanzeatatomleapcom april 5th 2020 interviews held following weeks relevant references certificates links previous work welcome,English,175,446,3153
434,435,Senior Technical Product Manager (f/m/x),Architrave,senior technical product manager fmx fulltime employment permanent asap berlin architrave build state art software digital realestate management focus deep understanding workflows organizational principles industry combine intuitive inspiring business software first released april 2014 novelty design speed webbased document management system gained huge attention industry last year architrave proptech year award future responsibilities senior technical product manager responsible crossfunctional team end2end setting analysis rollout optimization goal craft innovative technical solutions according needs business solutions foundation architrave product portfolio work closely stakeholders senior management product owners product division responsibilities include planning roadmap managing backlog conceptualizing writing user stories planning sprints coordinating rollout constantly measuring optimizing bring passion excellent product development digitizes paperbased industry businessdriven mindset deep understanding technology exceptional communication skills across disciplines roles levels minimum 5 years relevant professional experience software product manager business analyst business architect preferably b2b software startups enterprise solutions previous experience agile working crossfunctional teams selfstarter fast learner fluent english german skills plus could bring insights real estate industry document management data solutions process management offer opportunity genuinely shape exceptional product one leading proptech europe competitive compensation flexible working hours familyfriendly work ethic great place grow take responsibility professionally personally personal education budget spend training conferences personal growth flat hierarchies short open communication flows quick decisionmaking processes working environment values individuals embraces knowledge sharing highly motivated talented team likes prepare lunch together also loves play pingpong lightflooded office area free drinks fully equipped kitchen employee discounts bvg urban sports club lpg biomarkt waiting look forward receiving application cv cover letter wed also appreciate forward anyone think might interested thanks bunch equal opportunities employer architrave strive diverse inclusive healthy working environment invite qualified humans apply regardless ethnicity color ancestry religion sex national origin sexual orientation age citizenship marital status disability gender identity clicking apply job button expressly make following representations warranties give consents described architrave collects personal data purposes managing architraves recruitment related activities consequently architrave may use personal data relation evaluation selection applicants including example setting conducting interviews tests evaluating assessing results thereto otherwise needed recruitment processes including final recruitment architrave disclose personal data unauthorized third parties agree fact extent necessary personal data may transferred andor disclosed third parties acting architraves behalf including also transfers servers databases outside country provided architrave personal data transfers may include example transfers andor disclosures outside european economic area united states america find us glassdoor keywords product owner b2b saas big data ai crossfunctional teams great office location heart berlin familyfriendly diverse team technical product manager,English,239,630,4552
436,437,Product Analyst - Personalized Marketing,Zalando SE,product specialist personalized marketing participate development new features advertising products drive growth business gain deep domain knowledge become expert endtoend ownership data define tracking requirements analyse large datasets provide actionable insights ab test dive deep results performance marketing activities addition benefit network product analysts economists data scientists share similar challenges across company learn develop skills expertise needed develop indepth analytical user understanding drives growth facebook marketing improved challenge contribute product decisions based insights drive data mindset team guide terms methodology support execute testing quality gatekeeper data leading product decisions even ask revise decisions contradict analytical insights give analytical evidence certain things discovery roll looking bigquery sql r python combined good mathematical statistics foundations strong knowledge ab testing best practices relevant technologies strong knowledge ecommerce kpis defined perks work workplace run trust empowerment feedback positive inspiring working atmosphere competitive salary employee share shop 40 zalando shopping discount discounts external partners centrally located offices public transport discounts municipality services great equipment flexible working times additional holidays volunteering time free beverages fruits diverse sports health offerings mentoring personal development opportunities international team experts relocation assistance internationals pme family service parent child rooms available select locations celebrate diversity committed building teams represent variety backgrounds perspectives skills employment decided basis qualifications merit business need zalando zalando europes leading online platform fashion connecting customers brands partners across 17 markets drive digital solutions fashion logistics advertising research bringing headtotoe fashion 23 million active customers diverse skillsets interests languages teams choose use,English,131,362,2626
438,439,Working Student (Werkstudent) - Business Analytics (m/f/x),Audible GmbH,profile proficient sql etl preferably hands experience business environmentyou proficient ms excel know work vlookup sumifs index match functions use pivot tablesyou fluent english written spokenyou passion data curious always dig deep uncover patternsyou selfdriven motivated learn exploreyou dont mind bit chaos actually embrace something provides kinds opportunitiesyou love solving problemsyou enrolled berlin university fulltime degree hey theres revolution going revolution digital entertainment every day millions people around world choose thoughtfully entertained informed educated listening fascinating stories forms fictional nonfictional content smartphones mobile devices audible amazon company leading provider premium digital spoken audio information entertainment internet offering customers new way enhance enrich lives every day titles downloaded audible compatible hundreds mobile devices including iphone android smartphones based berlin audible gmbh looking working student werkstudent business analytics eu mfx support us creating insights build reports help us make critical business decisions team berlin works closely stakeholders berlin around world work data opportunity analyze customer behavior across different market places working specific analysis opportunity drive key business decisions help marketing teams analysts main responsibilities extract data redshift databases adhoc analysis using sqlwork large data sets using various analysis tools ms excelsqlpythonmicrostrategyrtableau perform data validation cross checks plausibility checksrecognize patterns data dig deep anomaliesperform ab testing various marketing campaignscreate customer segments email targeting preferred qualifications enrolled economic computer science mathematic engineering computer science business administration similar university programs least one year studies leftgreat communication skills offer student position 20hweek salary 12hcontribution longrun ideally 1 2 years fullyfledged team memberexciting opportunity participate growth global digital audiobook providerinternational work environment beautiful berlin mitte location sounds interesting looking new challenge innovative company surrounded engaged fun team audible next stop looking forward application details together cover letter comes tools skills etc would appreciate could let us know tools know also level expertise,English,193,482,3244
439,440,Data Analyst - Convenience Proposition Analytics,Zalando SE,data analyst convenience proposition analytics team regularly benchmarking zalandos fulfillment proposition supporting investment decisions enable evidencebased decisions data analysis expertise optimizing postcheckout experience international scale enjoy examining large amounts data uncover hidden patterns trends surface insights exciting stories based beautiful visualizations join us opportunities make personal impact limitless expertise neede collect benchmarking data lead statistical analyses help business make better decisions understand solve business challenges achieve operational excellence fluent business processes work collaboration software engineering analytics product internal teams resources enable datasupported decision making identify gaps create strategies help us teams scale looking analytical entrepreneurial mindset passion pioneering new operations ground technical commercial perspective businessdata analyst handson experience statistical research techniques linearnonlinear regression timeseries modeling sample size estimation statistical tests etc experience data engineering etls data modeling data visualization high fluency pythonr sql excellent collaboration skills working fastpaced dynamic team environment perks work workplace run trust empowerment feedback positive inspiring working atmosphere competitive salary employee share shop 40 zalando shopping discount discounts external partners centrally located offices public transport discounts municipality services great equipment flexible working times additional holidays volunteering time free beverages fruits diverse sports health offerings mentoring personal development opportunities international team experts relocation assistance internationals pme family service parent child rooms available select locations celebrate diversity committed building teams represent variety backgrounds perspectives skills employment decided basis qualifications merit business need zalando zalando europes leading online platform fashion connecting customers brands partners across 17 markets drive digital solutions fashion logistics advertising research bringing headtotoe fashion 23 million active customers diverse skillsets interests languages teams choose use,English,114,359,2771
440,441,Data Analyst - Content Attribution,Zalando SE,product analyst team attribution part highimpact team plays pivotal role optimizing zalandos onsite content build attribution models quantifying financial impact zalandos inspirational features campaigns empowering biggest client partners well internal stakeholders analyze media content zalando web appbased realtime data primary role would involve deepdiving vast data sources develop creative solutions analyses providing insights stakeholders expertise needed work large complex data sets applying advanced analytical methods solve challenging use cases customer problems develop automate reports iteratively build prototype dashboards provide insights scale solving business priorities responsible conducting data analysis make business recommendations building impactful data visualizations experience formulating product questions pulling data datasets sql using statistics answer business questions looking babs masters degree quantitative field statistics computer science mathematics data sciences 3 years experience dataintensive analytics role digital analytics product analytics business intelligence strong proficiency sql based languages experience bigquery python plus excellent communication presentation skills nice knowledge statistical packages pythonr etc google analytics certificationexperience perks work culture trust empowerment constructive feedback open source commitment meetups game nights 70 internal technical fun guilds knowledge sharing tech talks internal tech academy blogs product demos parties events competitive salary employee share shop 40 zalando shopping discount discounts external partners centrally located offices public transport discounts municipality services great equipment flexible working times additional holidays volunteering time free beverages fruits diverse sports health offerings extensive onboarding mentoring personal development opportunities international team experts celebrate diversity committed building teams represent variety backgrounds perspectives skills employment decided basis qualifications merit business need zalando zalando europes leading online platform fashion connecting customers brands partners across 17 markets drive digital solutions fashion logistics advertising research bringing headtotoe fashion 23 million active customers diverse skillsets interests languages teams choose use within zalando digital experience dx work many autonomous teams live standards software craftsmanship ownership excellence along guiding set principles entrust team shape future zalando please note applications must completed using online form accept applications via email,English,136,439,3272
441,442,Senior Data Analyst,Zalando Marketing Services,insights digital data analyst role provides datadriven value brand partners well internally goto person analytics team well consultants comes transactional onsite data analysis opportunity part forefront team shape new business venture personally grow insights datadriven zalando offer enabling clients fashion industry gain holistic understanding business consumers offer includes projectbased consulting services selfservice web interfaces expertise needed work consulting projects scoping extracting analyzing interpreting transactional onsite data derive relevant insights together consultants develop new analytical products eg predictive modeling build minimum viable products mvps order test clients eventually integrated selfservice web interfaces evolve standalone product analyze success selfservice web interfaces terms usage user preferences derive recommendations improvement responsible monitoring improving data quality analyzing data various sources coordinating internal teams reviewing calculation methods looking expert sql comfortable work large volumes transactional onsite consumer data enjoy working commercial context experience defining modeling testing evolving analytical models direct impact business realities special focus models concerning customers eg customer management segmentation value etc plus possess relevant professional experience analytics controlling industries ebusiness retail consultancy market research able communicate precisely results extensive knowledge respective tools methods preferably sql google analytics bigquery python combined good mathematical statistical foundations experience forecasting predictive models would plus comfortable working combining cleaning massive datasets advanced skills data visualization perks work culture trust empowerment constructive feedback open source commitment meetups game nights 70 internal technical fun guilds knowledge sharing tech talks internal tech academy blogs product demos parties events competitive salary employee share shop 40 zalando shopping discount discounts external partners centrally located offices public transport discounts municipality services great equipment flexible working times additional holidays volunteering time free beverages fruits diverse sports health offerings extensive onboarding mentoring personal development opportunities international team experts relocation assistance internationals pme family service parent child rooms available select locations celebrate diversity committed building teams represent variety backgrounds perspectives skills employment decided basis qualifications merit business need zalando marketing services zalando marketing services zms 360 marketing unit europe leading online platform fashion lifestyle zalando work worlds largest fashion lifestyle brands provide impactful solutions across marketing touchpoints access relevant audiences indepth data knowledge well inspiring creation content zms create meaningful connections brands consumers deep understanding personalities work brands agencies publishers fashion beyond produce innovative impactful campaigns reach right audience right moment thanks holistic mix cuttingedge privacy compliant technology indepth audience insights expansive reach compelling content brands produce successful campaigns across multiple digital marketing channels information check link httpszmszalandocom visit tech radar check opensource projects please note applications must completed english using online form accept applications via email,English,233,636,4576
442,443,Senior Data Analyst,Zalando Marketing Services,insights digital data analyst role provides datadriven value brand partners well internally goto person analytics team well consultants comes transactional onsite data analysis opportunity part forefront team shape new business venture personally grow insights datadriven zalando offer enabling clients fashion industry gain holistic understanding business consumers offer includes projectbased consulting services selfservice web interfaces expertise needed work consulting projects scoping extracting analyzing interpreting transactional onsite data derive relevant insights together consultants develop new analytical products eg predictive modeling build minimum viable products mvps order test clients eventually integrated selfservice web interfaces evolve standalone product analyze success selfservice web interfaces terms usage user preferences derive recommendations improvement responsible monitoring improving data quality analyzing data various sources coordinating internal teams reviewing calculation methods looking expert sql comfortable work large volumes transactional onsite consumer data enjoy working commercial context experience defining modeling testing evolving analytical models direct impact business realities special focus models concerning customers eg customer management segmentation value etc plus possess relevant professional experience analytics controlling industries ebusiness retail consultancy market research able communicate precisely results extensive knowledge respective tools methods preferably sql google analytics bigquery python combined good mathematical statistical foundations experience forecasting predictive models would plus comfortable working combining cleaning massive datasets advanced skills data visualization perks work culture trust empowerment constructive feedback open source commitment meetups game nights 70 internal technical fun guilds knowledge sharing tech talks internal tech academy blogs product demos parties events competitive salary employee share shop 40 zalando shopping discount discounts external partners centrally located offices public transport discounts municipality services great equipment flexible working times additional holidays volunteering time free beverages fruits diverse sports health offerings extensive onboarding mentoring personal development opportunities international team experts relocation assistance internationals pme family service parent child rooms available select locations celebrate diversity committed building teams represent variety backgrounds perspectives skills employment decided basis qualifications merit business need zalando marketing services zalando marketing services zms 360 marketing unit europe leading online platform fashion lifestyle zalando work worlds largest fashion lifestyle brands provide impactful solutions across marketing touchpoints access relevant audiences indepth data knowledge well inspiring creation content zms create meaningful connections brands consumers deep understanding personalities work brands agencies publishers fashion beyond produce innovative impactful campaigns reach right audience right moment thanks holistic mix cuttingedge privacy compliant technology indepth audience insights expansive reach compelling content brands produce successful campaigns across multiple digital marketing channels information check link httpszmszalandocom visit tech radar check opensource projects please note applications must completed english using online form accept applications via email,English,233,636,4576
443,444,Working Student (Werkstudent) - Business Analytics (m/f/x),Audible GmbH,profile proficient sql etl preferably hands experience business environmentyou proficient ms excel know work vlookup sumifs index match functions use pivot tablesyou fluent english written spokenyou passion data curious always dig deep uncover patternsyou selfdriven motivated learn exploreyou dont mind bit chaos actually embrace something provides kinds opportunitiesyou love solving problemsyou enrolled berlin university fulltime degree hey theres revolution going revolution digital entertainment every day millions people around world choose thoughtfully entertained informed educated listening fascinating stories forms fictional nonfictional content smartphones mobile devices audible amazon company leading provider premium digital spoken audio information entertainment internet offering customers new way enhance enrich lives every day titles downloaded audible compatible hundreds mobile devices including iphone android smartphones based berlin audible gmbh looking working student werkstudent business analytics eu mfx support us creating insights build reports help us make critical business decisions team berlin works closely stakeholders berlin around world work data opportunity analyze customer behavior across different market places working specific analysis opportunity drive key business decisions help marketing teams analysts main responsibilities extract data redshift databases adhoc analysis using sqlwork large data sets using various analysis tools ms excelsqlpythonmicrostrategyrtableau perform data validation cross checks plausibility checksrecognize patterns data dig deep anomaliesperform ab testing various marketing campaignscreate customer segments email targeting preferred qualifications enrolled economic computer science mathematic engineering computer science business administration similar university programs least one year studies leftgreat communication skills offer student position 20hweek salary 12hcontribution longrun ideally 1 2 years fullyfledged team memberexciting opportunity participate growth global digital audiobook providerinternational work environment beautiful berlin mitte location sounds interesting looking new challenge innovative company surrounded engaged fun team audible next stop looking forward application details together cover letter comes tools skills etc would appreciate could let us know tools know also level expertise,English,193,482,3244
444,445,Data Analyst - Convenience Proposition Analytics,Zalando SE,data analyst convenience proposition analytics team regularly benchmarking zalandos fulfillment proposition supporting investment decisions enable evidencebased decisions data analysis expertise optimizing postcheckout experience international scale enjoy examining large amounts data uncover hidden patterns trends surface insights exciting stories based beautiful visualizations join us opportunities make personal impact limitless expertise neede collect benchmarking data lead statistical analyses help business make better decisions understand solve business challenges achieve operational excellence fluent business processes work collaboration software engineering analytics product internal teams resources enable datasupported decision making identify gaps create strategies help us teams scale looking analytical entrepreneurial mindset passion pioneering new operations ground technical commercial perspective businessdata analyst handson experience statistical research techniques linearnonlinear regression timeseries modeling sample size estimation statistical tests etc experience data engineering etls data modeling data visualization high fluency pythonr sql excellent collaboration skills working fastpaced dynamic team environment perks work workplace run trust empowerment feedback positive inspiring working atmosphere competitive salary employee share shop 40 zalando shopping discount discounts external partners centrally located offices public transport discounts municipality services great equipment flexible working times additional holidays volunteering time free beverages fruits diverse sports health offerings mentoring personal development opportunities international team experts relocation assistance internationals pme family service parent child rooms available select locations celebrate diversity committed building teams represent variety backgrounds perspectives skills employment decided basis qualifications merit business need zalando zalando europes leading online platform fashion connecting customers brands partners across 17 markets drive digital solutions fashion logistics advertising research bringing headtotoe fashion 23 million active customers diverse skillsets interests languages teams choose use,English,114,359,2771
445,446,Data Analyst - Content Attribution,Zalando SE,product analyst team attribution part highimpact team plays pivotal role optimizing zalandos onsite content build attribution models quantifying financial impact zalandos inspirational features campaigns empowering biggest client partners well internal stakeholders analyze media content zalando web appbased realtime data primary role would involve deepdiving vast data sources develop creative solutions analyses providing insights stakeholders expertise needed work large complex data sets applying advanced analytical methods solve challenging use cases customer problems develop automate reports iteratively build prototype dashboards provide insights scale solving business priorities responsible conducting data analysis make business recommendations building impactful data visualizations experience formulating product questions pulling data datasets sql using statistics answer business questions looking babs masters degree quantitative field statistics computer science mathematics data sciences 3 years experience dataintensive analytics role digital analytics product analytics business intelligence strong proficiency sql based languages experience bigquery python plus excellent communication presentation skills nice knowledge statistical packages pythonr etc google analytics certificationexperience perks work culture trust empowerment constructive feedback open source commitment meetups game nights 70 internal technical fun guilds knowledge sharing tech talks internal tech academy blogs product demos parties events competitive salary employee share shop 40 zalando shopping discount discounts external partners centrally located offices public transport discounts municipality services great equipment flexible working times additional holidays volunteering time free beverages fruits diverse sports health offerings extensive onboarding mentoring personal development opportunities international team experts celebrate diversity committed building teams represent variety backgrounds perspectives skills employment decided basis qualifications merit business need zalando zalando europes leading online platform fashion connecting customers brands partners across 17 markets drive digital solutions fashion logistics advertising research bringing headtotoe fashion 23 million active customers diverse skillsets interests languages teams choose use within zalando digital experience dx work many autonomous teams live standards software craftsmanship ownership excellence along guiding set principles entrust team shape future zalando please note applications must completed using online form accept applications via email,English,136,439,3272
446,447,Customer Experience Manager (Fluent English and Swedish),Amazon CS Berlin GmbH,degree qualifiedfluent english swedishstrong knowledge microsoft excel wordanalytical skillsproject management experience eu customer services team seeking customer experience cx manager fluent english swedish support various customer service projects role focused establishing cx management mechanisms frameworks manage cx focusing two main areas work emerging customer impacting issues management ii project management working multiple operational teams including retail marketing transportation legal cs support teams customer experience manager understand report shopping experience processes impacting cx work continuous improvement projects relevant teams drive solutions improve customer experience successful candidate excellent analyst communicator influencer ability drive change throughout organization analyze drive process improvements role requires frequent interactions stakeholders within outside cs organization mainly retail teams role based luxembourg role scope establish policies cx management processes pertaining cs projects partnership retail cs stakeholders cs ops csi legal etcbenchmark advocate processes would improve shopping experienceestablish voice customer voc framework contact reduction defect elimination mechanisms cx improvement culture retail teamdaily interaction retail cs stakeholders cs ops csi legal etc ensure prompt response emerging customer impacting issuesact subject matter expert sme retails performance impacts cxact liaison various amazon teams providing reporting analysis ensure change driven areas biggest potential cx improvementunderstand analyze communicate metrics cpu concessions dpmoanalyze propose process improvement initiatives within every step shopping experiencework internal teams benchmark design processes improve shopping experienceestablish awareness way retail operates ensure process improvement initiatives driven without frictionproject management initiatives identified improve shopping experience experienceskills successful candidate able manage several projectsinitiatives timetrack record sourcing analyzing multiple sources data provide clear reporting issues affect shopping experiencedemonstrated skills communicating verbally writing influencing stakeholders across multiple disciplines different levels businesscapability make efficient effective process improvement proposalsflexibility respond quickly change reprioritize face emerging issues daily operations needsability deal ambiguity solve problems even limited informationstrong evidence relationshipbuilding across various internal departments within organization experience within customer service retail organizations strong plusfluency nordic languagesworking knowledge sql,English,156,456,3381
447,448,Senior Threat Intelligence Analyst (m/f/d),Arvato Systems GmbH,senior threat intelligence analyst mfd location berlin responsible cyber threat intelligence collection consolidation distribution perform threat modelling assessment classification well thread attack trending ensure proactive counter threat management create cyber security tactics techniques procedures ttps organizes information distribution within cyber security operations teams drive information sharing cyber security organizations tasks responsibilities analyze respond previously undisclosed software hardware vulnerabilities provide threat vulnerability analysis well security advisory based reports internal commercial public sources including incidents threat hunting results penetration tests read teaming activities participate security incident management vulnerability management processes maintain situational awareness latest cybersecurity threats vulnerabilities mitigation strategies performs analysis threatvulnerability sources assessing impacts infrastructure systems provides assessment recommendations potential actions correlative security threat posture conducts complex analysis interpret cybersecurity threat intelligence identify emerging risks vulnerabilities quantifies potential impact develops conclusions recommend supervisory responses written reports analyze threat intelligence reports identify vulnerabilities understand could exploited potential impact protected environment support detection process investigations optimized signatures iocs participate threat hunting threat modeling threat intel activities develop appropriate response strategies based intelligence received qualifications bachelors degree relevant area study equivalent demonstrated experience knowledge information security professional designations cissp cism cisa gcia gcih desired strong understanding security incident management malware management vulnerability management processes well various cyberattacks recent hacking techniques attack vectors basic understanding operating systems virtualization technologies network devices cloud computing concepts web proxies firewalls idsips av systems dlp vulnerability assessment tools advanced sql scripting experience powershell python shell etc understanding attack methodologies defense strategies ie sql injection buffer overflow dos arp poisoning etc must understand basic security principles understanding malware cryptography threats vulnerabilities access control application data host security demonstrates broad awareness cybersecurity events threats actors including trends emerging systemic risks excellent english written verbal skills personal qualities innovative eager learn rapidly evolving field personality traits work habits communication social skills necessary work effectively within dynamic highly operational environment exemplary personal professional integrity demonstrate strong interpersonal skills excellent analytical problem solving skills strong attention detail ability work independently moderate supervision projects ability manage multiple tasks priorities operational assignments high pressure environment must good time management skills demonstrated ability complete assignments timely high quality manner working conditions compensation oncallstandby availability required salary based experience education certification travel occasion security operation center positions require employees obtain maintain security clearance without employees innovative solutions support customers digital transformation worldwide wide range sectors global trade international media industry energy utility companies 2700 dedicated employees work us 25 locations customers especially appreciate outstanding expertise comprehensive technological knowledge entrepreneurial spirit employees appreciate corporate culture partnership stateoftheart technology range different challenges give employees freedom innovative take entrepreneurial responsibility part team look forward receiving online application including references salary expectations arvato systems gmbh embrace recruiting services contact person caline kollien arvatosystemsdekarriere unternehmen arvato systems gmbh land deutschland region berlin stadt berlin postleitzahl 10827 job id 71922,English,171,594,4994
